OID_,UNIT_CODE,UNIT_NAME,STATE,REGION,Lat,Lon
221,RUCA,Russell Cave National Monument,AL,SE,34.974478920000003,-85.814613719999997
222,NISI,Ninety Six National Historic Site,SC,SE,34.143655529999997,-82.015110680000006
223,TUAI,Tuskegee Airmen National Historic Site,AL,SE,32.454857779999998,-85.678597969999998
224,SEMO,Selma to Montgomery National Historic Trail,AL,SE,32.270737109999999,-86.728184819999996
225,NATC,Natchez National Historical Park,MS,SE,31.542457079999998,-91.382085790000005
226,CHPI,Charles Pinckney National Historic Site,SC,SE,32.845598029999998,-79.824761980000005
227,JICA,Jimmy Carter National Historical Park,GA,SE,32.026635550000002,-84.432276939999994
228,MALU,"Martin Luther King, Jr., National Historical Park",GA,SE,33.754920079999998,-84.371693300000004
229,CUVA,Cuyahoga Valley National Park,OH,MW,41.209195129999998,-81.569688299999996
230,APIS,Apostle Islands National Lakeshore,WI,MW,46.938633350000003,-90.581860430000006
231,FILA,First Ladies National Historic Site,OH,MW,40.796622730000003,-81.375931480000006
232,NIOB,Niobrara National Scenic River,NE,MW,42.813679649999997,-100.139317000000005
233,IATR,Ice Age National Scenic Trail,WI,MW,43.078574969999998,-89.617007279999996
234,EFMO,Effigy Mounds National Monument,IA,MW,43.091388250000001,-91.208269099999995
235,DAAV,Dayton Aviation Heritage National Historical Park,OH,MW,39.803476820000000,-84.064661250000000
236,FOLS,Fort Larned National Historic Site,KS,MW,38.183783120000001,-99.215488469999997
237,FOSC,Fort Scott National Historic Site,KS,MW,37.843462649999999,-94.704527369999994
238,TAPR,Tallgrass Prairie National Preserve,KS,MW,38.418543130000003,-96.549901270000007
239,GWCA,George Washington Carver National Monument,MO,MW,36.986639590000003,-94.355514249999999
240,WICL,President William Jefferson Clinton Birthplace Home National Historic Site,AR,MW,33.667621969999999,-93.596361070000000
241,WICR,Wilson's Creek National Battlefield,MO,MW,37.099842060000000,-93.409162060000000
242,JAGA,James A. Garfield National Historic Site,OH,MW,41.664876180000000,-81.350886729999999
243,KEWE,Keweenaw National Historical Park,MI,MW,47.138999769999998,-88.569335019999997
244,GRPO,Grand Portage National Monument,MN,MW,47.989526730000001,-89.714751239999998
245,HSTR,Harry S Truman National Historic Site,MO,MW,38.901213720000001,-94.530797739999997
246,HEHO,Herbert Hoover National Historic Site,IA,MW,41.667860830000002,-91.352482249999994
247,INDU,Indiana Dunes National Park,IN,MW,41.659659249999997,-87.033157660000001
248,HOME,Homestead National Historical Park,NE,MW,40.288739839999998,-96.832419569999999
249,PIRO,Pictured Rocks National Lakeshore,MI,MW,46.548285450000002,-86.378842779999999
250,RIRA,River Raisin National Battlefield Park,MI,MW,41.912678120000002,-83.376311419999993
251,LECL,Lewis and Clark National Historic Trail,IL,MW,40.664095619999998,-95.832140219999999
252,RRBH,Ronald Reagan Boyhood Home National Historic Site,IL,MW,41.836227850000000,-89.480177159999997
253,LIBO,Lincoln Boyhood National Memorial,IN,MW,38.118773590000004,-86.996840480000003
254,JEFF,Gateway Arch National Park,IL,MW,38.623453679999997,-90.175404799999995
255,GERO,George Rogers Clark National Historical Park,IN,MW,38.679011490000001,-87.535456659999994
256,LIHO,Lincoln Home National Historic Site,IL,MW,39.797155850000003,-89.645131610000007
257,OZAR,Ozark National Scenic Riverways,MO,MW,37.242389230000001,-91.324058269999995
258,SCBL,Scotts Bluff National Monument,NE,MW,41.834983690000001,-103.707076900000004
259,AGFO,Agate Fossil Beds National Monument,NE,MW,42.422206520000003,-103.759152799999995
260,HOCU,Hopewell Culture National Historical Park,OH,MW,39.278811910000002,-83.135041939999994
261,PEVI,Perry's Victory and International Peace Memorial,OH,MW,41.654907620000003,-82.810003550000005
262,WIHO,William Howard Taft National Historic Site,OH,MW,39.119734370000003,-84.507786400000001
263,PIPE,Pipestone National Monument,MN,MW,44.014011369999999,-96.324742069999999
264,MISS,Mississippi National River and Recreation Area,MN,MW,44.914612060000003,-93.127601900000002
265,LOSA,Lower Saint Croix National Scenic Riverway,MN,MW,45.233953860000000,-92.752310719999997
266,SLBE,Sleeping Bear Dunes National Lakeshore,MI,MW,45.107761459999999,-86.012463640000007
267,ULSG,Ulysses S. Grant National Historic Site,MO,MW,38.551824490000001,-90.351687780000006
268,VOYA,Voyageurs National Park,MN,MW,48.465674659999998,-92.885540100000000
269,MIMI,Minuteman Missile National Historic Site,SD,MW,43.844583569999998,-101.900970319999999
270,BITH,Big Thicket National Preserve,TX,IM,30.475218259999998,-94.346836159999995
271,CARI,Cane River Creole National Historical Park,LA,SE,31.665025910000001,-93.006221819999993
272,JAZZ,New Orleans Jazz National Historical Park,LA,SE,29.963111359999999,-90.067453929999999
273,AMIS,Amistad National Recreation Area,TX,IM,29.579387120000000,-101.288402540000007
274,ARPO,Arkansas Post National Memorial,AR,MW,34.020890909999999,-91.347251799999995
275,BAND,Bandelier National Monument,NM,IM,35.784624800000003,-106.312807410000005
276,BIBE,Big Bend National Park,TX,IM,29.333831040000000,-103.194075450000000
277,CAVO,Capulin Volcano National Monument,NM,IM,36.781645509999997,-103.973044950000002
278,CAVE,Carlsbad Caverns National Park,NM,IM,32.120067790000000,-104.601245090000006
279,GUMO,Guadalupe Mountains National Park,TX,IM,31.906851939999999,-104.900795579999993
280,CHAM,Chamizal National Memorial,TX,IM,31.767121960000001,-106.454739570000001
281,FODA,Fort Davis National Historic Site,TX,IM,30.599145010000001,-103.894717889999995
282,FOUN,Fort Union National Monument,NM,IM,35.907352959999997,-105.012050209999998
283,GICL,Gila Cliff Dwellings National Monument,NM,IM,33.227599619999999,-108.273496739999999
284,SAPU,Salinas Pueblo Missions National Monument,NM,IM,34.259722500000002,-106.090199970000000
285,HOSP,Hot Springs National Park,AR,MW,34.529164070000000,-93.029965189999999
286,CHSC,Little Rock Central High School National Historic Site,AR,MW,34.737248520000001,-92.299829509999995
287,FOSM,Fort Smith National Historic Site,AR,MW,35.388583230000002,-94.431053969999994
288,PERI,Pea Ridge National Military Park,AR,MW,36.452612029999997,-94.029886120000000
289,BUFF,Buffalo National River,AR,MW,36.040024260000003,-93.309852960000001
290,LYJO,Lyndon B. Johnson National Historical Park,TX,IM,30.251630930000001,-98.625131449999998
291,AZRU,Aztec Ruins National Monument,NM,IM,36.835482829999997,-108.001717920000004
292,CACH,Canyon de Chelly National Monument,AZ,IM,36.094055400000002,-109.340067300000001
293,CHCU,Chaco Culture National Historical Park,NM,IM,36.034013680000001,-107.958133270000005
294,ELMO,El Morro National Monument,NM,IM,35.038946590000002,-108.346410910000003
295,HUTR,Hubbell Trading Post National Historic Site,AZ,IM,35.707274409999997,-109.559947859999994
296,NAVA,Navajo National Monument,AZ,IM,36.685487410000000,-110.536255190000006
297,WACA,Walnut Canyon National Monument,AZ,IM,35.166552150000001,-111.503561640000001
298,SUCR,Sunset Crater Volcano National Monument,AZ,IM,35.371137720000000,-111.511324259999995
299,WUPA,Wupatki National Monument,AZ,IM,35.564858500000000,-111.405835440000004
300,PAIS,Padre Island National Seashore,TX,IM,26.705806710000001,-97.341067789999997
301,PECO,Pecos National Historical Park,NM,IM,35.538121250000003,-105.674894870000003
302,CHIC,Chickasaw National Recreation Area,OK,IM,34.455509829999997,-96.997680669999994
303,JELA,Jean Lafitte National Historical Park and Preserve,LA,SE,29.807462139999998,-90.142000310000000
304,LAMR,Lake Meredith National Recreation Area,TX,IM,35.601129239999999,-101.709299479999999
305,ALFL,Alibates Flint Quarries National Monument,TX,IM,35.582080019999999,-101.669548879999994
306,RIGR,Rio Grande Wild and Scenic River,TX,IM,29.757748660000001,-102.532712810000007
307,PETR,Petroglyph National Monument,NM,IM,35.139999910000000,-106.745339689999994
308,SAAN,San Antonio Missions National Historical Park,TX,IM,29.332730750000000,-98.454667420000007
309,WABA,Washita Battlefield National Historic Site,OK,IM,35.620836869999998,-99.704470470000004
310,WHSA,White Sands National Park,NM,IM,32.764761460000003,-106.325944269999994
311,POPO,Poverty Point National Monument,LA,SE,32.634937919999999,-91.406313710000006
312,PAAL,Palo Alto Battlefield National Historical Park,TX,IM,26.023750990000000,-97.462938449999996
313,CABR,Cabrillo National Monument,CA,PW,32.672203189999998,-117.240978360000000
314,CHIS,Channel Islands National Park,CA,PW,34.018534299999999,-119.706161410000007
315,DEVA,Death Valley National Park,CA,PW,36.566817610000001,-117.138790420000007
316,GOGA,Golden Gate National Recreation Area,CA,PW,37.946837950000003,-122.687754889999994
317,KALA,Kalaupapa National Historical Park,HI,PW,21.192294799999999,-156.956470319999994
318,FOPO,Fort Point National Historic Site,CA,PW,37.808535610000000,-122.473410840000000
